nomeImg,respCorr,,,
IncongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
IncongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
IncongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
IncongruentLeft.bmp,left,,,
IncongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
IncongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
CongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
IncongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
IncongruentLeft.bmp,left,,,
CongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
CongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
CongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
CongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
IncongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
IncongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
CongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
CongruentLeft.bmp,left,,,
IncongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
CongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
CongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
CongruentRight.bmp,right,,,
CongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
CongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
CongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
IncongruentLeft.bmp,left,,,
IncongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
IncongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
CongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
CongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
CongruentRight.bmp,right,,,
IncongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
IncongruentLeft.bmp,left,,,
CongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
IncongruentLeft.bmp,left,,,
CongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
CongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
CongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
CongruentLeft.bmp,left,,,
IncongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
IncongruentRight.bmp,right,,,
CongruentLeft.bmp,left,,,
CongruentRight.bmp,right,,,
IncongruentLeft.bmp,left,,,
